研报名称,机构名称,发布时间,行业,网页链接,PDF直链
中国金融大模型落地应用探析：智能金融，赋能未来,头豹研究院,2026-06-01 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=34IjOVFT7SMXhv7RV89/dU6yEkMyZA6PpS1wTu3mChk=,https://pdf.dfcfw.com/pdf/H3_AP202606011823133810_1.pdf
2026年保理行业分析,联合资信评估,2026-06-01 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=34IjOVFT7SMXhv7RV89/dZDqYoLgFwZNZFo79+2LTTw=,https://pdf.dfcfw.com/pdf/H3_AP202606011823120565_1.pdf
REITs行业周报：中证REITs指数环比下跌，产业园区、仓储物流本周跌幅较大,开源证券,2026-05-31 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=frN1yznI/PSjLneQCR7qmr8WORhW0iPiVi4dEQKyTfA=,https://pdf.dfcfw.com/pdf/H3_AP202605311823108365_1.pdf
2026年期货行业分析,联合资信评估,2026-05-29 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=bsQe8BCnoZKeqsWeLQmz+Gwz40t7v/IQSnPWOVY5ydg=,https://pdf.dfcfw.com/pdf/H3_AP202605291823042268_1.pdf
2026年金融租赁行业分析,联合资信评估,2026-05-28 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=rmuxYk/8kah+Ec3RizjA1LE3wpImNoMjzA3y7wIOavA=,https://pdf.dfcfw.com/pdf/H3_AP202605281822959974_1.pdf
非银行业周报（2026年第十七期）：国有券商整合提速 头部优势进一步凸显,中航证券,2026-05-25 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=yAxnM+X7+cNkaz6/iJZO1IZVuu+zwJdisAW9D3SJ8k4=,https://pdf.dfcfw.com/pdf/H3_AP202605251822844659_1.pdf
基础设施投融资行业2026年一季度政策回顾及展望：化债迭代升级 转型回归实体,中诚信国际,2026-05-25 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=yAxnM+X7+cNkaz6/iJZO1FEq2dAMMkkP0dHjx4GfwXM=,https://pdf.dfcfw.com/pdf/H3_AP202605251822846620_1.pdf
Web3行业研究：美股代币化交易推迟，链上股票及股权交易火热,国金证券,2026-05-24 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=190xdmTYsHjMb0DC+/627P4DB4y71jJ4typHEPy03BU=,https://pdf.dfcfw.com/pdf/H3_AP202605241822839980_1.pdf
非银行业2025年报总结与Q3策略指引：盈利修复下的生态重构,太平洋,2026-05-22 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=GH0mz9OFfdD8HJyjS8PWdNk7VdTSALKiAgwhxbDfzyQ=,https://pdf.dfcfw.com/pdf/H3_AP202605221822675947_1.pdf
2026年地方资产管理公司行业分析,联合资信评估,2026-05-20 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=ghB/U6yU9Yq8Vt9aUyx3xOZOqVKORsv2wZRCykd+nwA=,https://pdf.dfcfw.com/pdf/H3_AP202605201822495140_1.pdf
